,SEQN,PAXDAYM,PAXDAYWM,PAXSSNMP,PAXTSM,PAXAISMM,PAXMTSM,PAXMXM,PAXMYM,PAXMZM,PAXPREDM,PAXTRANM,PAXLXSM,PAXLXSDM,PAXQFM,PAXFLGSM
23058,73559.0,b'1',b'7',5.397605346934028e-79,60.0,5.397605346934028e-79,40.034,12.468,10.523,17.043,b'1',b'0',2409.35,343.49,5.397605346934028e-79,b''
23059,73559.0,b'1',b'7',4800.0,60.0,5.397605346934028e-79,39.554,12.686,10.498,16.37,b'1',b'0',2474.98,70.89,5.397605346934028e-79,b''
23060,73559.0,b'1',b'7',9600.0,60.0,5.397605346934028e-79,37.925,11.776,11.7,14.449,b'1',b'0',2476.94,67.91,5.397605346934028e-79,b''
23061,73559.0,b'1',b'7',14400.0,60.0,5.397605346934028e-79,33.105,10.48,10.36,12.265,b'1',b'0',1786.98,940.32,5.397605346934028e-79,b''
23062,73559.0,b'1',b'7',19200.0,60.0,5.397605346934028e-79,34.756,10.973,11.465,12.318,b'1',b'0',2444.67,182.35,5.397605346934028e-79,b''
23063,73559.0,b'1',b'7',24000.0,60.0,5.397605346934028e-79,36.188,10.944,12.638,12.606,b'1',b'0',2316.31,480.8,5.397605346934028e-79,b''
23064,73559.0,b'1',b'7',28800.0,60.0,5.397605346934028e-79,39.588,12.587,12.812,14.189,b'1',b'0',2478.46,66.38,5.397605346934028e-79,b''
23065,73559.0,b'1',b'7',33600.0,60.0,5.397605346934028e-79,32.478,9.909,10.098,12.471,b'1',b'0',2488.04,39.9,5.397605346934028e-79,b''
23066,73559.0,b'1',b'7',38400.0,60.0,5.397605346934028e-79,22.542,5.902,9.567,7.074,b'1',b'0',1571.56,1154.49,5.397605346934028e-79,b''
23067,73559.0,b'1',b'7',43200.0,60.0,5.397605346934028e-79,22.171,6.233,8.303,7.635,b'1',b'0',1627.38,1168.99,5.397605346934028e-79,b''
23068,73559.0,b'1',b'7',48000.0,60.0,5.397605346934028e-79,31.373,9.752,9.897,11.723,b'1',b'0',875.4,1139.2,5.397605346934028e-79,b''
23069,73559.0,b'1',b'7',52800.0,60.0,5.397605346934028e-79,28.539,9.364,9.59,9.584,b'1',b'0',610.85,1013.15,5.397605346934028e-79,b''
23070,73559.0,b'1',b'7',57600.0,60.0,2160.0,2.366,0.659,0.768,0.938,b'1',b'0',5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,b''
23071,73559.0,b'1',b'7',62400.0,60.0,2480.0,7.483,3.398,1.547,2.538,b'4',b'1',5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,b''
23072,73559.0,b'1',b'7',67200.0,60.0,4240.0,0.274,0.146,0.034,0.095,b'2',b'0',5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,b''
23073,73559.0,b'1',b'7',72000.0,60.0,3280.0,5.453,2.583,0.837,2.032,b'2',b'0',5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,b''
23074,73559.0,b'1',b'7',76800.0,60.0,3120.0,0.741,0.243,0.257,0.241,b'2',b'0',5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,b''
23075,73559.0,b'1',b'7',81600.0,60.0,4800.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,b'2',b'0',5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,b''
23076,73559.0,b'1',b'7',86400.0,60.0,4800.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,b'2',b'0',5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,b''
23077,73559.0,b'1',b'7',91200.0,60.0,4800.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,b'2',b'0',5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,b''
23078,73559.0,b'1',b'7',96000.0,60.0,4800.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,b'2',b'0',5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,b''
23079,73559.0,b'1',b'7',100800.0,60.0,4800.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,b'2',b'0',5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,b''
23080,73559.0,b'1',b'7',105600.0,60.0,4800.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,b'2',b'0',5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,b''
23081,73559.0,b'1',b'7',110400.0,60.0,4800.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,b'2',b'0',5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,b''
23082,73559.0,b'1',b'7',115200.0,60.0,4800.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,b'2',b'0',5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,b''
23083,73559.0,b'1',b'7',120000.0,60.0,3920.0,0.141,0.027,0.052,0.062,b'2',b'0',5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,b''
23084,73559.0,b'1',b'7',124800.0,60.0,4800.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,b'2',b'0',5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,b''
23085,73559.0,b'1',b'7',129600.0,60.0,4800.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,b'2',b'0',5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,b''
23086,73559.0,b'1',b'7',134400.0,60.0,4800.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,b'2',b'0',5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,b''
23087,73559.0,b'1',b'7',139200.0,60.0,3920.0,0.109,0.029,0.041,0.039,b'2',b'0',5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,b''
